Vine Number,Treatment,Number_buds,Budburst
1.002,25,0,0
1.017,25,0,0
1.005,25,0,0
1.006,25,0,0
1.02,25,0,0
1.032,25,0,0
1.002,30,0,0
1.017,30,0,0
1.005,30,0,0
1.006,30,0,0
1.02,30,0,0
1.032,30,0,0
1.002,35,0,0
1.017,35,1,0.033
1.005,35,0,0
1.006,35,0,0
1.02,35,2,0.067
1.032,35,0,0
1.002,40,6,0.2
1.017,40,8,0.267
1.005,40,4,0.133
1.006,40,2,0.067
1.02,40,6,0.2
1.032,40,0,0
1.002,45,7,0.233
1.017,45,10,0.333
1.005,45,20,0.667
1.006,45,9,0.3
1.02,45,13,0.433
1.032,45,24,0.8
1.002,50,13,0.43
1.017,50,9,0.3
1.005,50,9,0.3
1.006,50,7,0.233
1.02,50,16,0.533
1.032,50,17,0.567
1.002,60,12,0.4
1.017,60,9,0.3
1.005,60,19,0.633
1.006,60,13,0.433
1.02,60,9,0.3
1.032,60,7,0.233
1.002,80,8,0.266666667
1.017,80,7,0.233333333
1.005,80,9,0.3
1.006,80,8,0.266666667
1.02,80,8,0.266666667
1.032,80,7,0.233333333
