block,id,variety,aspect,ga_trtrmt,verticality,girth,budbreak,date
1,13.103,Meader,n,0,3,12,7,4/25/2024
1,13.103,Meader,n,10,1,11,3,4/21/2024
1,13.103,Meader,n,100,1,12,5,4/23/2024
1,13.103,Meader,n,1000,1,12,13,5/1/2024
1,13.011,Ana,n,0,1,8,NA,NA
1,13.011,Ana,n,10,2,10,13,5/1/2024
1,13.011,Ana,n,100,1,9,11,4/29/2024
1,13.011,Ana,n,1000,1,12,11,4/29/2024
2,13.029,Meader,n,0,4,8,9,4/27/2024
2,13.029,Meader,n,10,3,6,3,4/21/2024
2,13.029,Meader,n,100,1,10,11,4/29/2024
2,13.029,Meader,n,1000,3,8,3,4/21/2024
2,13.023,Ana,n,0,1,12,5,4/23/2024
2,13.023,Ana,n,10,1,10,7,4/25/2024
2,13.023,Ana,n,100,1,10,5,4/23/2024
2,13.023,Ana,n,1000,1,7,7,4/25/2024
3,13.038,Ana,n,0,1,17,11,4/29/2024
3,13.038,Ana,n,10,1,10,11,4/29/2024
3,13.038,Ana,n,100,1,7,1,4/19/2024
3,13.038,Ana,n,1000,1,10,11,4/29/2024
3,13.054,Meader,n,0,1,6,11,4/29/2024
3,13.054,Meader,n,10,4,8,7,4/25/2024
3,13.054,Meader,n,100,4,10,13,5/1/2024
3,13.054,Meader,n,1000,1,9,13,5/1/2024
4,13.069,Ana,n,0,1,9,5,4/23/2024
4,13.069,Ana,n,10,1,10,11,4/29/2024
4,13.069,Ana,n,100,1,13,7,4/25/2024
4,13.069,Ana,n,1000,3,6,5,4/23/2024
4,13.066,Meader,n,0,3,11,13,5/1/2024
4,13.066,Meader,n,10,2,13,11,4/29/2024
4,13.066,Meader,n,100,2,13,9,4/27/2024
4,13.066,Meader,n,1000,1,10,13,5/1/2024
1,13.103,Meader,s,0,3,14,7,4/25/2024
1,13.103,Meader,s,10,1,9,15,5/3/2024
1,13.103,Meader,s,100,1,11,17,5/5/2024
1,13.103,Meader,s,1000,2,11,13,5/1/2024
1,13.011,Ana,s,0,3,6,3,4/21/2024
1,13.011,Ana,s,10,1,7,11,4/29/2024
1,13.011,Ana,s,100,1,16,11,4/29/2024
1,13.011,Ana,s,1000,1,13,11,4/29/2024
2,13.029,Meader,s,0,1,14,11,4/29/2024
2,13.029,Meader,s,10,2,9,11,4/29/2024
2,13.029,Meader,s,100,3,7,7,4/25/2024
2,13.029,Meader,s,1000,4,8,13,5/1/2024
2,13.023,Ana,s,0,1,12,5,4/23/2024
2,13.023,Ana,s,10,1,13,7,4/25/2024
2,13.023,Ana,s,100,1,11,7,4/25/2024
2,13.023,Ana,s,1000,2,10,5,4/23/2024
3,13.038,Ana,s,0,4,8,13,5/1/2024
3,13.038,Ana,s,10,2,8,5,4/23/2024
3,13.038,Ana,s,100,1,12,7,4/25/2024
3,13.038,Ana,s,1000,1,13,11,4/29/2024
3,13.054,Meader,s,0,2,6,11,4/29/2024
3,13.054,Meader,s,10,3,11,11,4/29/2024
3,13.054,Meader,s,100,3,9,1,4/19/2024
3,13.054,Meader,s,1000,1,13,13,5/1/2024
4,13.069,Ana,s,0,1,12,11,4/29/2024
4,13.069,Ana,s,10,4,9,11,4/29/2024
4,13.069,Ana,s,100,1,13,1,4/19/2024
4,13.069,Ana,s,1000,1,11,11,4/29/2024
4,13.066,Meader,s,0,4,7,13,5/1/2024
4,13.066,Meader,s,10,2,13,7,4/25/2024
4,13.066,Meader,s,100,2,12,11,4/29/2024
4,13.066,Meader,s,1000,1,14,13,5/1/2024
